Name,Slug,Code,Path,Full Path,Level,Parent,Image URL,Product Count,Has Children
Surface and Floor Cleaners,surface-and-floor-cleaners,12098,cleaning-and-hygiene/cleaning-chemicals/surface-and-floor-cleaners,Cleaning & Hygiene > Cleaning Chemicals > Surface and Floor Cleaners,3,Cleaning Chemicals,https://media.nisbets.com/asset/au/category/grid_large/12098.jpg,0,Yes
Laundry Cleaner,laundry-cleaner,12481,cleaning-and-hygiene/cleaning-chemicals/laundry-cleaner,Cleaning & Hygiene > Cleaning Chemicals > Laundry Cleaner,3,Cleaning Chemicals,https://media.nisbets.com/asset/au/category/grid_large/12481.jpg,0,Yes
Hand Soaps and Sanitisers,hand-soaps-and-sanitisers,13329,cleaning-and-hygiene/cleaning-chemicals/hand-soaps-and-sanitisers,Cleaning & Hygiene > Cleaning Chemicals > Hand Soaps and Sanitisers,3,Cleaning Chemicals,https://media.nisbets.com/asset/au/category/grid_large/13329.jpg,0,Yes
Glass Cleaner,glass-cleaner,14770,cleaning-and-hygiene/cleaning-chemicals/glass-cleaner,Cleaning & Hygiene > Cleaning Chemicals > Glass Cleaner,3,Cleaning Chemicals,https://media.nisbets.com/asset/au/category/grid_large/14770.jpg,0,Yes
Disinfectant and Sanitisers,disinfectant-and-sanitisers,14576,cleaning-and-hygiene/cleaning-chemicals/disinfectant-and-sanitisers,Cleaning & Hygiene > Cleaning Chemicals > Disinfectant and Sanitisers,3,Cleaning Chemicals,https://media.nisbets.com/asset/au/category/grid_large/14576.jpg,0,Yes
Dishwashing Liquids,dishwashing-liquids,11901,cleaning-and-hygiene/cleaning-chemicals/dishwashing-liquids,Cleaning & Hygiene > Cleaning Chemicals > Dishwashing Liquids,3,Cleaning Chemicals,https://media.nisbets.com/asset/au/category/grid_large/11901.jpg,0,Yes
"Dishwasher Detergent, Rinse Aid and Detergents",dishwasher-detergent-rinse-aid-and-detergents,12831,cleaning-and-hygiene/cleaning-chemicals/dishwasher-detergent-rinse-aid-and-detergents,"Cleaning & Hygiene > Cleaning Chemicals > Dishwasher Detergent, Rinse Aid and Detergents",3,Cleaning Chemicals,https://media.nisbets.com/asset/au/category/grid_large/12831.jpg,0,Yes
Degreasers,degreasers,14772,cleaning-and-hygiene/cleaning-chemicals/degreasers,Cleaning & Hygiene > Cleaning Chemicals > Degreasers,3,Cleaning Chemicals,https://media.nisbets.com/asset/au/category/grid_large/14772.jpg,0,Yes
Cleaning Kits and Bundles,cleaning-kits-and-bundles,14773,cleaning-and-hygiene/cleaning-chemicals/cleaning-kits-and-bundles,Cleaning & Hygiene > Cleaning Chemicals > Cleaning Kits and Bundles,3,Cleaning Chemicals,https://media.nisbets.com/asset/au/category/grid_large/14773.jpg,0,Yes
Appliance Cleaners,appliance-cleaners,14714,cleaning-and-hygiene/cleaning-chemicals/appliance-cleaners,Cleaning & Hygiene > Cleaning Chemicals > Appliance Cleaners,3,Cleaning Chemicals,https://media.nisbets.com/asset/au/category/grid_large/14714.jpg,0,Yes
Step Stools,step-stools,1040,cleaning-and-hygiene/health-and-safety/step-stools,Cleaning & Hygiene > Health and Safety > Step Stools,3,Health and Safety,https://media.nisbets.com/asset/au/category/grid_large/1040.jpg,0,Yes
Safety Signs,safety-signs,9052,cleaning-and-hygiene/health-and-safety/safety-signs,Cleaning & Hygiene > Health and Safety > Safety Signs,3,Health and Safety,https://media.nisbets.com/asset/au/category/grid_large/9052.jpg,0,Yes
Safety Mats,safety-mats,5385,cleaning-and-hygiene/health-and-safety/safety-mats,Cleaning & Hygiene > Health and Safety > Safety Mats,3,Health and Safety,https://media.nisbets.com/asset/au/category/grid_large/5385.jpg,0,Yes
First Aid Supplies,first-aid-supplies,4049,cleaning-and-hygiene/health-and-safety/first-aid-supplies,Cleaning & Hygiene > Health and Safety > First Aid Supplies,3,Health and Safety,https://media.nisbets.com/asset/au/category/grid_large/4049.jpg,0,Yes
Wok Ranges,wok-ranges,14102,commercial-kitchen-machines/cooking-equipment/wok-ranges,Commercial Kitchen Machines & Dishwashers > Cooking Equipment > Wok Ranges,3,Cooking Equipment,https://media.nisbets.com/asset/au/category/grid_large/14102.jpg,0,Yes
Rapid Cook Ovens,rapid-cook-ovens,13783,commercial-kitchen-machines/cooking-equipment/rapid-cook-ovens,Commercial Kitchen Machines & Dishwashers > Cooking Equipment > Rapid Cook Ovens,3,Cooking Equipment,https://media.nisbets.com/asset/au/category/grid_large/13783.jpg,0,Yes
Multi Pans,multi-pans,14716,commercial-kitchen-machines/cooking-equipment/multi-pans,Commercial Kitchen Machines & Dishwashers > Cooking Equipment > Multi Pans,3,Cooking Equipment,https://media.nisbets.com/asset/au/category/grid_large/14716.jpg,0,Yes
Kitchen Ventilation and Extraction,kitchen-ventilation-and-extraction,14092,commercial-kitchen-machines/cooking-equipment/kitchen-ventilation-and-extraction,Commercial Kitchen Machines & Dishwashers > Cooking Equipment > Kitchen Ventilation and Extraction,3,Cooking Equipment,https://media.nisbets.com/asset/au/category/grid_large/14092.jpg,0,Yes
Induction Oven Ranges,induction-oven-ranges,14186,commercial-kitchen-machines/cooking-equipment/induction-oven-ranges,Commercial Kitchen Machines & Dishwashers > Cooking Equipment > Induction Oven Ranges,3,Cooking Equipment,https://media.nisbets.com/asset/au/category/grid_large/14186.jpg,0,Yes
Gas Stock Pot Burners,gas-stock-pot-burners,14446,commercial-kitchen-machines/cooking-equipment/gas-stock-pot-burners,Commercial Kitchen Machines & Dishwashers > Cooking Equipment > Gas Stock Pot Burners,3,Cooking Equipment,https://media.nisbets.com/asset/au/category/grid_large/14446.jpg,0,Yes
Fryers and Oil Filter Machines,fryers-and-oil-filter-machines,14442,commercial-kitchen-machines/cooking-equipment/fryers-and-oil-filter-machines,Commercial Kitchen Machines & Dishwashers > Cooking Equipment > Fryers and Oil Filter Machines,3,Cooking Equipment,https://media.nisbets.com/asset/au/category/grid_large/14442.jpg,0,Yes
Food Steamers,food-steamers,13616,commercial-kitchen-machines/cooking-equipment/food-steamers,Commercial Kitchen Machines & Dishwashers > Cooking Equipment > Food Steamers,3,Cooking Equipment,https://media.nisbets.com/asset/au/category/grid_large/13616.jpg,0,Yes
Electric Ovens and Ranges,electric-ovens-and-ranges,14221,commercial-kitchen-machines/cooking-equipment/electric-ovens-and-ranges,Commercial Kitchen Machines & Dishwashers > Cooking Equipment > Electric Ovens and Ranges,3,Cooking Equipment,https://media.nisbets.com/asset/au/category/grid_large/14221.jpg,0,Yes
Electric Cooktop Hobs,electric-cooktop-hobs,14216,commercial-kitchen-machines/cooking-equipment/electric-cooktop-hobs,Commercial Kitchen Machines & Dishwashers > Cooking Equipment > Electric Cooktop Hobs,3,Cooking Equipment,https://media.nisbets.com/asset/au/category/grid_large/14216.jpg,0,Yes
Conveyor Ovens,conveyor-ovens,12817,commercial-kitchen-machines/cooking-equipment/conveyor-ovens,Commercial Kitchen Machines & Dishwashers > Cooking Equipment > Conveyor Ovens,3,Cooking Equipment,https://media.nisbets.com/asset/au/category/grid_large/12817.jpg,0,Yes
Commercial Microwaves,commercial-microwaves,13548,commercial-kitchen-machines/cooking-equipment/commercial-microwaves,Commercial Kitchen Machines & Dishwashers > Cooking Equipment > Commercial Microwaves,3,Cooking Equipment,https://media.nisbets.com/asset/au/category/grid_large/13548.jpg,0,Yes
Gas Ovens and Ranges,gas-ovens-and-ranges,S1500,commercial-kitchen-machines/cooking-equipment/gas-ovens-and-ranges,Commercial Kitchen Machines & Dishwashers > Cooking Equipment > Gas Ovens and Ranges,3,Cooking Equipment,https://media.nisbets.com/asset/au/category/grid_large/s1500.jpg,0,Yes
Convection Ovens,convection-ovens,12248,commercial-kitchen-machines/cooking-equipment/convection-ovens,Commercial Kitchen Machines & Dishwashers > Cooking Equipment > Convection Ovens,3,Cooking Equipment,https://media.nisbets.com/asset/au/category/grid_large/12248.jpg,0,Yes
Combination Ovens,combination-ovens,12215,commercial-kitchen-machines/cooking-equipment/combination-ovens,Commercial Kitchen Machines & Dishwashers > Cooking Equipment > Combination Ovens,3,Cooking Equipment,https://media.nisbets.com/asset/au/category/grid_large/12215.jpg,0,Yes
Griddles,griddles,13549,commercial-kitchen-machines/cooking-equipment/griddles,Commercial Kitchen Machines & Dishwashers > Cooking Equipment > Griddles,3,Cooking Equipment,https://media.nisbets.com/asset/au/category/grid_large/13549.jpg,0,Yes
Panini and Contact Grills,panini-and-contact-grills,12027,commercial-kitchen-machines/cooking-equipment/panini-and-contact-grills,Commercial Kitchen Machines & Dishwashers > Cooking Equipment > Panini and Contact Grills,3,Cooking Equipment,https://media.nisbets.com/asset/au/category/grid_large/12027.jpg,0,Yes
Grills,grills,13200,commercial-kitchen-machines/cooking-equipment/grills,Commercial Kitchen Machines & Dishwashers > Cooking Equipment > Grills,3,Cooking Equipment,https://media.nisbets.com/asset/au/category/grid_large/13200.jpg,0,Yes
Char Grills,char-grills,12881,commercial-kitchen-machines/cooking-equipment/char-grills,Commercial Kitchen Machines & Dishwashers > Cooking Equipment > Char Grills,3,Cooking Equipment,https://media.nisbets.com/asset/au/category/grid_large/12881.jpg,0,Yes
Gas Cooktop Hobs,gas-cooktop-hobs,12880,commercial-kitchen-machines/cooking-equipment/gas-cooktop-hobs,Commercial Kitchen Machines & Dishwashers > Cooking Equipment > Gas Cooktop Hobs,3,Cooking Equipment,https://media.nisbets.com/asset/au/category/grid_large/12880.jpg,0,Yes
Toasters,toasters,9472,commercial-kitchen-machines/cooking-equipment/toasters,Commercial Kitchen Machines & Dishwashers > Cooking Equipment > Toasters,3,Cooking Equipment,https://media.nisbets.com/asset/au/category/grid_large/9472.jpg,0,Yes
Waffle Makers,waffle-makers,10170,commercial-kitchen-machines/cooking-equipment/waffle-makers,Commercial Kitchen Machines & Dishwashers > Cooking Equipment > Waffle Makers,3,Cooking Equipment,https://media.nisbets.com/asset/au/category/grid_large/10170.jpg,0,Yes
Crepe Makers,crepe-makers,10034,commercial-kitchen-machines/cooking-equipment/crepe-makers,Commercial Kitchen Machines & Dishwashers > Cooking Equipment > Crepe Makers,3,Cooking Equipment,https://media.nisbets.com/asset/au/category/grid_large/10034.jpg,0,Yes
Induction Hobs and Cookers,induction-hobs-and-cookers,9430,commercial-kitchen-machines/cooking-equipment/induction-hobs-and-cookers,Commercial Kitchen Machines & Dishwashers > Cooking Equipment > Induction Hobs and Cookers,3,Cooking Equipment,https://media.nisbets.com/asset/au/category/grid_large/9430.jpg,0,Yes
